YEAR,MONTH,SECTOR,DISTRICT,PSU,HUNIT,HHOLD,SERNO,RSHIP,SEX,BYEAR,BMONTH,AGE,ETH,REL,MARITAL,EDU,DEGREE,CUEDU,SIN,TAMIL,ENG,P15,P16,P17,P18,P19,P20,P21,Q2,Q3,Q4,Q5,Q6_A,Q6_B_1,Q6_B_2,Q6_B_3,Q7,Q8,Q8A,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40_A,Q40_B,Q41,Q42,Q43,Q44,Q45,Q45A,Q45_A_1,Q45_A_2,Q45_A_3,Q45_B_1,Q45_B_2,Q45_B_3,Q45_B_4,Q45_C_1,Q46,Q46A,Q46_A_1,Q46_A_2,Q46_A_3,Q46_B_1,Q46_B_2,Q46_B_3,Q46_B_4,Q46_C_1,Q47,Q48,Q49_1,Q49_2,Q49_3,Q50,Q51,Q52,Q53,Q54,Q55_A,Q55_B_1,Q55_B_2,Q55_B_3,Q56,Q57,Q58,Q59,Q60A,Q60B,Q61,Q62,Q63_A_22,Q63_A_3,Q63_A_42,Q63_A_5,Q63_B_22,Q63_B_3,Q63_B_42,Q63_B_5,Q64,Annual_Factor
2023,1,2,11,8,6,1,2,2,2,1971,10,51,1,1,2,10, ,5,1,1,1,1,1,1,1,1,1,2,1,1, , , , , , ,8183,10795,11,1,2,2,2,2,3,3,4,4,2,1,56,56, ,2, , , , , , , , , , , , , , , ,56,56, , , , ,1,2, , , ,750,25, ,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,7,1354.092724
2023,1,2,11,8,6,1,3,3,1,1996,5,26,1,1,2,10, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,9629,96099,11,1,4, , , , ,3,4,1,2,1,25,30, ,2, , , , , , , , , , , , , , , ,25, ,1,3,20,1,1,2, , , ,2500,13, ,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,1354.092724
2023,1,2,11,8,6,1,4,3,1,1998,2,24,1,1,1,9, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,9313,41001,11,1,2,2,2,2,3,2,3,1,9,2,40,8,3,2, , , , , , , , , , , , , , , ,40,8, , , , ,1,2, , , ,2500,3, ,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,1354.092724
2023,1,2,11,8,6,1,5,3,2,2008,6,14,1,1,1,8, ,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1354.092724
2023,1,2,11,8,10,1,1,1,1,1987,6,35,1,1,2,13, ,5,1,2,1,1,1,1,1,1,1,2,1,3, , , , , , ,2310,85301,11,1,3,2,2,1,2, , , , , ,20,25, ,1,2310,85302,3, , , , , ,2,3,7,2,1,20,15,40,40, , , , ,1,1,80000,0,0, , , , , ,2, , , , , , , , ,20000, , , , , , , , , , , , , , , , , , , , , ,1,716,5,47,12, , , , , ,1354.092724
2023,1,2,11,8,10,1,2,2,2,1988,12,34,1,1,2,13, ,5,1,1,1,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,7,1354.092724
2023,1,3,11,9,4,1,1,1,1,1975,2,47,3,4,2,3, ,5,2,1,2,2,1,1,1,1,1,2,1,1, , , , , , ,7512,56294,11,1,3,2,2,2,3,1,2,1,2,1,84,56,8,2, , , , , , , , , , , , , , , ,84,56, , , , ,1,2, , , ,2000,20, ,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,294.2121124
2023,1,3,11,9,4,1,2,2,2,1976,1,47,3,4,2,6, ,5,2,1,2,2,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , ,2, , , , , , , , ,7,294.2121124
2023,1,3,11,9,4,1,3,3,1,1996,5,26,3,4,1,10, ,5,2,1,2,1,1,1,1,1,1,2,1,1, , , , , , ,3122,14101,11,1,1,1,1,1,3,1,1,6,1,1,48,48, ,2, , , , , , , , , , , , , , , ,48,48, , , , ,1,1,37000,0,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,294.2121124
2023,1,3,11,9,4,1,4,3,1,2001,6,21,3,4,1,10, ,5,2,1,2,1,1,1,1,1,1,2,1,1, , , , , , ,9411,56109,11,1,3,2,2,2,3,1,1,3,2,1,84,84, ,2, , , , , , , , , , , , , , , ,84,84, , , , ,1,1,37000,0,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,294.2121124
2023,1,3,11,9,10,1,1,1,1,1969,4,53,3,2,5,19, ,5,2,2,2,2,1,4,1,3,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,4, , , , , , , , , , , , , ,2, , , , , , , , ,7,294.2121124
2023,1,2,11,10,4,1,1,1,2,1965,10,57,1,4,2,13, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,3353,84120,11,1,1,1,1,1,1, , , , , ,40,40, ,2, , , , , , , , , , , , , , , ,40,40, , , , ,1,1,54490,0,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,111,3,1,36, , , , , ,1226.840637
2023,1,2,11,10,4,1,2,2,1,1965,7,57,1,4,2,13, ,5,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , ,4323,84120,11,1,1,1,1,1,1, , , , , ,40,60, ,2, , , , , , , , , , , , , , , ,40,60, , , , ,1,1,65000,10000,0, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,111,4,1,36,111,1,45,12, ,1226.840637
2023,1,2,11,10,4,1,3,3,1,2009,2,13,1,4,1,7, ,1,1,2,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1226.840637
2023,1,2,11,10,9,1,1,1,1,1980,5,42,1,1,2,10, ,5,1,2,2,1,1,1,1,1,1,2,1,1, , , , , , ,5223,47598,11,3, , , , , ,2,2,7,2,1,30,16,2,2, , , , , , , , , , , , , , , ,30, ,2, , , ,2, , , , , , , , ,60000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2,1226.840637
2023,1,2,11,10,9,1,2,2,2,1984,12,38,1,1,2,13, ,5,1,2,2,1,1,1,1,1,1,2,1,1, , , , , , ,2342,85101,11,3, , , , , ,2,2,7,2,1,30,30, ,2, , , , , , , , , , , , , , , ,30, ,2, , , ,2, , , , , , , , ,20000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,111,4,45,12, , , , , ,1226.840637
2023,1,2,11,10,9,1,3,3,1,2009,7,13,1,1,1,7, ,1,1,2,2,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1226.840637
2023,1,2,11,11,3,1,1,1,2,1938,4,84,1,1,3,13, ,5,1,2,1,1,2,2,2,2,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , , , , , , , , , , ,2, , , , , , , , ,2,796.2065218
2023,1,2,11,11,3,1,2,3,1,1961,5,61,1,1,2,13, ,5,1,2,1,1,1,1,1,1,1,2,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , , , , , , , , , , ,2, , , , , , , , ,2,796.2065218
2023,1,2,11,11,7,1,1,1,1,1962,8,60,1,1,2,6, ,5,1,2,2,2,1,2,1,1,1,2,1,1, , , , , , ,9211,96099,11,1,4, , , , ,3,4,1,2,1,50,35,3,2, , , , , , , , , , , , , , , ,50,35, , , , ,1,2, , , ,2000,15, ,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,3,796.2065218
